movieId,avg_rating,rating_count,title,genres,year,title_clean,genres_list
318,4.429022082018927,317,"Shawshank Redemption, The (1994)",Crime|Drama,1994.0,"Shawshank Redemption, The","['Crime', 'Drama']"
858,4.2890625,192,"Godfather, The (1972)",Crime|Drama,1972.0,"Godfather, The","['Crime', 'Drama']"
2959,4.272935779816514,218,Fight Club (1999),Action|Crime|Drama|Thriller,1999.0,Fight Club,"['Action', 'Crime', 'Drama', 'Thriller']"
1276,4.271929824561403,57,Cool Hand Luke (1967),Drama,1967.0,Cool Hand Luke,['Drama']
750,4.268041237113402,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,1964.0,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"['Comedy', 'War']"
904,4.261904761904762,84,Rear Window (1954),Mystery|Thriller,1954.0,Rear Window,"['Mystery', 'Thriller']"
1221,4.25968992248062,129,"Godfather: Part II, The (1974)",Crime|Drama,1974.0,"Godfather: Part II, The","['Crime', 'Drama']"
48516,4.252336448598131,107,"Departed, The (2006)",Crime|Drama|Thriller,2006.0,"Departed, The","['Crime', 'Drama', 'Thriller']"
1213,4.25,126,Goodfellas (1990),Crime|Drama,1990.0,Goodfellas,"['Crime', 'Drama']"
912,4.24,100,Casablanca (1942),Drama|Romance,1942.0,Casablanca,"['Drama', 'Romance']"
58559,4.238255033557047,149,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,2008.0,"Dark Knight, The","['Action', 'Crime', 'Drama', 'IMAX']"
50,4.237745098039215,204,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"Usual Suspects, The","['Crime', 'Mystery', 'Thriller']"
1197,4.232394366197183,142,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,1987.0,"Princess Bride, The","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
260,4.231075697211155,251,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,1977.0,Star Wars: Episode IV - A New Hope,"['Action', 'Adventure', 'Sci-Fi']"
527,4.225,220,Schindler's List (1993),Drama|War,1993.0,Schindler's List,"['Drama', 'War']"
1208,4.219626168224299,107,Apocalypse Now (1979),Action|Drama|War,1979.0,Apocalypse Now,"['Action', 'Drama', 'War']"
2329,4.217054263565892,129,American History X (1998),Crime|Drama,1998.0,American History X,"['Crime', 'Drama']"
1196,4.2156398104265405,211,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,1980.0,Star Wars: Episode V - The Empire Strikes Back,"['Action', 'Adventure', 'Sci-Fi']"
1252,4.211864406779661,59,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,1974.0,Chinatown,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
1198,4.2075,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,1981.0,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark),"['Action', 'Adventure']"
