userId,query_movieId,hit,k
178,593,1,10
288,68954,1,10
596,96821,1,10
53,880,1,10
454,2997,1,10
220,3555,1,10
131,356,1,10
330,7387,1,10
306,2762,0,10
563,2384,1,10
291,40815,1,10
407,2028,1,10
319,364,1,10
504,22,1,10
447,160,1,10
101,2541,1,10
371,81834,0,10
479,3671,1,10
557,1580,1,10
75,1275,1,10
100,539,1,10
41,293,1,10
191,300,1,10
227,260,1,10
92,3168,0,10
335,2571,1,10
241,1206,1,10
180,1321,1,10
375,500,1,10
432,6333,1,10
396,4886,1,10
159,318,1,10
156,1307,1,10
266,1089,1,10
348,2858,1,10
411,230,1,10
224,3552,1,10
33,1249,1,10
144,509,1,10
181,596,0,10
153,296,1,10
404,349,1,10
72,260,1,10
603,2598,1,10
226,7361,1,10
349,145,1,10
312,3527,1,10
586,1221,1,10
494,1221,1,10
62,47,1,10
161,745,1,10
74,6711,0,10
540,1073,1,10
498,380,1,10
569,588,1,10
486,293,1,10
295,1466,1,10
235,551,1,10
410,3948,0,10
174,141,1,10
487,4720,1,10
550,122892,1,10
352,2701,1,10
256,96610,1,10
579,1831,1,10
119,5064,1,10
234,1215,1,10
54,377,1,10
40,318,1,10
103,91529,1,10
300,109487,1,10
240,520,1,10
145,165,1,10
49,2571,1,10
37,165,1,10
469,1307,1,10
310,1945,1,10
207,743,0,10
443,64957,1,10
232,58998,1,10
564,45720,1,10
421,1247,1,10
196,1036,1,10
499,1967,0,10
95,1274,1,10
458,1073,0,10
475,77561,1,10
361,32587,1,10
345,5902,1,10
581,116797,1,10
252,500,1,10
247,4993,1,10
222,7438,1,10
556,5816,1,10
73,7451,1,10
435,58559,1,10
169,1580,1,10
356,2144,1,10
194,5060,0,10
271,1120,1,10
204,1222,1,10
322,597,1,10
14,231,1,10
434,3793,1,10
186,908,1,10
343,4226,1,10
403,296,1,10
493,110,1,10
340,457,1,10
317,260,1,10
347,47,1,10
122,93510,1,10
459,2571,1,10
438,3882,1,10
587,2145,1,10
176,370,1,10
61,6502,1,10
20,5013,1,10
323,296,1,10
413,3753,1,10
424,79132,1,10
296,79132,1,10
450,3948,0,10
595,1711,1,10
383,539,1,10
245,2064,1,10
130,165,1,10
531,4447,0,10
182,1343,1,10
551,3623,1,10
277,788,1,10
199,2762,1,10
505,71535,0,10
426,4226,1,10
542,2329,1,10
217,170,1,10
538,158,1,10
91,2353,1,10
80,91630,1,10
574,150,1,10
305,1197,1,10
602,21,1,10
208,2023,1,10
495,117529,1,10
166,457,1,10
359,4306,1,10
604,454,1,10
351,84152,1,10
228,3510,0,10
460,3114,1,10
417,2712,1,10
17,6350,1,10
325,2628,1,10
555,2989,1,10
63,6502,1,10
